,state,county,county_state_name,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
0,01,001,"Autauga County, Alabama",0,11.6,92.0,12.7,91.0,5.4,76.4
1,01,003,"Baldwin County, Alabama",0,11.7,90.5,6.3,72.0,3.1,78.5
2,01,005,"Barbour County, Alabama",0,4.3,89.3,23.8,77.3,11.1,79.1
3,01,007,"Bibb County, Alabama",0,3.9,90.9,17.0,78.6,6.6,79.5
4,01,009,"Blount County, Alabama",0,4.4,90.0,10.1,86.9,5.1,76.8
5,01,011,"Bullock County, Alabama",0,4.2,89.5,24.2,74.7,12.2,77.6
6,01,013,"Butler County, Alabama",0,5.9,89.9,14.0,65.7,5.4,77.7
7,01,015,"Calhoun County, Alabama",0,8.4,90.0,10.7,83.0,5.1,78.3
8,21,135,"Lewis County, Kentucky",0,3.4,94.0,24.3,79.4,8.2,77.6
9,21,137,"Lincoln County, Kentucky",0,5.6,91.1,16.0,87.5,5.7,76.4
10,21,139,"Livingston County, Kentucky",0,5.6,96.4,7.2,77.9,2.3,78.3
11,21,141,"Logan County, Kentucky",0,6.9,93.0,11.5,84.6,7.8,76.4
12,21,143,"Lyon County, Kentucky",0,7.1,96.0,10.4,66.8,1.9,86.3
13,21,145,"McCracken County, Kentucky",0,9.5,93.8,10.6,86.2,7.3,77.8
14,21,147,"McCreary County, Kentucky",0,3.3,95.9,22.7,82.0,10.0,78.2
15,21,151,"Madison County, Kentucky",0,13.0,94.4,11.9,91.6,4.8,79.3
16,21,155,"Marion County, Kentucky",0,7.4,96.3,13.8,89.2,6.1,75.9
17,21,157,"Marshall County, Kentucky",0,9.1,93.4,6.0,80.8,4.8,79.7
18,21,161,"Mason County, Kentucky",0,9.4,93.2,12.2,79.9,9.4,77.4
19,21,163,"Meade County, Kentucky",0,7.7,96.7,9.9,85.3,3.3,77.6
20,21,167,"Mercer County, Kentucky",0,8.4,93.5,8.0,85.5,5.6,78.0
21,21,169,"Metcalfe County, Kentucky",0,5.6,95.0,17.9,88.1,4.1,76.4
22,21,173,"Montgomery County, Kentucky",0,7.1,93.6,14.8,88.1,5.9,76.5
23,21,175,"Morgan County, Kentucky",0,7.6,92.4,19.4,79.8,7.3,81.6
24,21,179,"Nelson County, Kentucky",0,7.6,94.7,5.4,93.6,5.2,76.3
25,21,181,"Nicholas County, Kentucky",0,4.9,95.7,17.2,82.4,10.2,77.1
26,21,185,"Oldham County, Kentucky",1,17.5,96.8,3.9,95.7,1.6,74.6
27,21,187,"Owen County, Kentucky",0,3.9,92.7,11.9,73.8,2.7,77.7
28,21,191,"Pendleton County, Kentucky",0,6.4,96.3,10.9,82.3,4.2,76.7
29,21,195,"Pike County, Kentucky",0,6.8,94.2,21.0,82.2,8.1,79.4
30,21,197,"Powell County, Kentucky",0,5.6,95.8,15.6,82.8,9.6,75.2
31,21,201,"Robertson County, Kentucky",0,2.5,92.0,20.0,77.7,4.5,75.4
32,21,203,"Rockcastle County, Kentucky",0,5.7,96.1,21.0,83.9,8.2,78.0
33,21,207,"Russell County, Kentucky",0,7.0,93.7,16.3,70.2,4.8,77.3
34,21,209,"Scott County, Kentucky",1,12.1,95.4,7.3,94.0,3.5,74.9
35,21,213,"Simpson County, Kentucky",0,4.2,92.9,9.2,90.6,2.6,75.7
36,21,215,"Spencer County, Kentucky",1,8.3,96.2,4.8,93.6,2.3,77.1
37,21,219,"Todd County, Kentucky",0,5.8,80.4,14.9,86.9,9.6,73.4
38,21,223,"Trimble County, Kentucky",0,5.5,93.8,11.9,84.8,8.1,78.3
39,21,225,"Union County, Kentucky",0,5.2,95.1,8.2,82.9,4.5,81.7
40,21,229,"Washington County, Kentucky",0,9.7,91.6,9.6,90.3,6.4,76.7
41,21,231,"Wayne County, Kentucky",0,5.1,91.1,14.2,75.8,8.7,79.1
42,21,235,"Whitley County, Kentucky",0,10.0,93.0,18.0,81.9,7.5,75.0
43,21,237,"Wolfe County, Kentucky",0,3.8,98.8,33.9,80.2,23.4,76.8
44,23,001,"Androscoggin County, Maine",0,7.5,92.1,7.0,91.7,9.1,78.3
45,23,003,"Aroostook County, Maine",0,6.1,91.6,8.7,74.0,8.5,81.6
46,23,007,"Franklin County, Maine",0,10.1,89.7,7.2,55.8,8.6,82.2
47,23,009,"Hancock County, Maine",0,13.9,89.8,6.5,58.2,5.5,83.1
48,23,013,"Knox County, Maine",0,12.5,92.3,6.4,71.5,5.9,82.3
49,23,015,"Lincoln County, Maine",0,15.5,90.1,6.5,65.1,5.8,83.1
50,23,019,"Penobscot County, Maine",0,10.9,91.7,7.8,82.9,7.1,81.9
51,23,021,"Piscataquis County, Maine",0,5.4,88.2,10.1,46.3,6.8,82.9
52,23,025,"Somerset County, Maine",0,4.5,90.7,11.8,69.9,7.0,81.0
53,23,029,"Washington County, Maine",0,8.9,88.4,12.6,59.2,8.2,80.9
54,23,031,"York County, Maine",1,11.3,94.2,4.7,78.3,5.5,81.2
55,27,003,"Anoka County, Minnesota",1,8.8,95.8,4.2,97.0,4.3,76.1
56,27,005,"Becker County, Minnesota",0,7.8,93.1,7.2,70.1,4.4,75.7
57,27,007,"Beltrami County, Minnesota",0,11.4,91.5,12.5,82.2,8.6,74.8
58,27,009,"Benton County, Minnesota",0,6.2,96.6,3.7,95.3,6.1,74.5
59,27,011,"Big Stone County, Minnesota",0,6.4,95.2,8.3,73.4,6.2,78.6
60,27,013,"Blue Earth County, Minnesota",0,11.6,96.0,8.1,91.7,6.3,80.3
61,27,015,"Brown County, Minnesota",0,6.1,96.8,4.5,90.6,4.1,78.2
62,27,017,"Carlton County, Minnesota",1,7.0,95.9,5.0,85.5,3.8,77.6
63,27,019,"Carver County, Minnesota",1,15.4,97.1,1.7,96.1,4.4,73.3
64,27,021,"Cass County, Minnesota",0,7.0,92.8,9.3,50.8,4.9,79.0
65,27,023,"Chippewa County, Minnesota",0,4.7,91.2,5.9,90.4,6.1,76.8
66,27,025,"Chisago County, Minnesota",1,5.9,96.7,3.3,91.9,3.9,77.2
67,47,121,"Meigs County, Tennessee",0,3.6,88.8,11.2,85.8,5.7,79.7
68,47,125,"Montgomery County, Tennessee",0,10.4,92.1,9.6,90.2,3.7,73.2
