,fips,county_state_name,median_hh_income,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
0,['01001'],"Autauga County, Alabama",57982,0,11.6,92,12.7,91,5.4,76.4
1,['01003'],"Baldwin County, Alabama",61756,0,11.7,90.5,6.3,72,3.1,78.5
2,['01005'],"Barbour County, Alabama",34990,0,4.3,89.3,23.8,77.3,11.1,79.1
3,['01007'],"Bibb County, Alabama",51721,0,3.9,90.9,17,78.6,6.6,79.5
4,['01009'],"Blount County, Alabama",48922,0,4.4,90,10.1,86.9,5.1,76.8
5,['01011'],"Bullock County, Alabama",33866,0,4.2,89.5,24.2,74.7,12.2,77.6
6,['01013'],"Butler County, Alabama",44850,0,5.9,89.9,14,65.7,5.4,77.7
7,['01015'],"Calhoun County, Alabama",50128,0,8.4,90,10.7,83,5.1,78.3
8,['21135'],"Lewis County, Kentucky",29844,0,3.4,94,24.3,79.4,8.2,77.6
9,['21137'],"Lincoln County, Kentucky",42231,0,5.6,91.1,16,87.5,5.7,76.4
10,['21139'],"Livingston County, Kentucky",52795,0,5.6,96.4,7.2,77.9,2.3,78.3
11,['21141'],"Logan County, Kentucky",48912,0,6.9,93,11.5,84.6,7.8,76.4
12,['21143'],"Lyon County, Kentucky",49286,0,7.1,96,10.4,66.8,1.9,86.3
13,['21145'],"McCracken County, Kentucky",47011,0,9.5,93.8,10.6,86.2,7.3,77.8
14,['21147'],"McCreary County, Kentucky",29499,0,3.3,95.9,22.7,82,10,78.2
15,['21151'],"Madison County, Kentucky",51649,0,13,94.4,11.9,91.6,4.8,79.3
16,['21155'],"Marion County, Kentucky",43587,0,7.4,96.3,13.8,89.2,6.1,75.9
17,['21157'],"Marshall County, Kentucky",57348,0,9.1,93.4,6,80.8,4.8,79.7
18,['21161'],"Mason County, Kentucky",46241,0,9.4,93.2,12.2,79.9,9.4,77.4
19,['21163'],"Meade County, Kentucky",61500,0,7.7,96.7,9.9,85.3,3.3,77.6
20,['21167'],"Mercer County, Kentucky",52312,0,8.4,93.5,8,85.5,5.6,78
